Product Name,Category,Price,Stock,Sales,Date Added,Shipping Method,Shipping Time,Shipping Cost,Return Policy,Payment Methods,Discount,Is Featured,Product Description
"Basic T-shirt","Clothing",19.99,150,250,2023-01-15,"Standard Shipping",5-7 days,5.00,"30-day return policy, unworn and unwashed items","Credit Card, PayPal, Apple Pay",10,"Yes","A comfortable basic t-shirt in various colors."
"Canvas Sneakers","Footwear",49.99,100,180,2023-03-10,"Express Shipping",2-3 days,10.00,"Free return within 14 days, must be in original condition","Credit Card, PayPal, Apple Pay, Google Pay",15,"No","Durable and stylish canvas sneakers for casual wear."
"Smart Watch","Electronics",199.99,80,100,2023-05-22,"Free Shipping",7-10 days,0.00,"Return within 30 days, warranty for 1 year","Credit Card, PayPal, Apple Pay",20,"Yes","A feature-packed smartwatch with health tracking."
"Yoga Mat","Fitness",29.99,200,500,2023-07-01,"Standard Shipping",5-7 days,5.00,"Returns accepted within 15 days, unused and unopened","Credit Card, PayPal, Apple Pay, Google Pay",5,"Yes","Eco-friendly yoga mat with superior grip."
"Coffee Mug","Home Goods",14.99,250,400,2023-08-18,"Standard Shipping",5-7 days,5.00,"No returns on personalized items","Credit Card, PayPal, Apple Pay",10,"No","A stylish ceramic mug for your morning coffee."
"Bluetooth Headphones","Electronics",99.99,150,220,2023-02-05,"Express Shipping",2-3 days,10.00,"30-day return policy, defective items can be exchanged","Credit Card, PayPal, Apple Pay, Google Pay",25,"Yes","Wireless Bluetooth headphones with high-quality sound."
"Kitchen Blender","Home Goods",159.99,50,60,2023-06-12,"Standard Shipping",7-10 days,8.00,"Free returns within 30 days, must be unused and in original packaging","Credit Card, PayPal",5,"No","High-performance blender for smoothies and soups."
"Gaming Laptop","Electronics",899.99,30,40,2023-09-01,"Free Shipping",5-7 days,0.00,"Free returns within 14 days, warranty for 2 years","Credit Card, PayPal, Apple Pay",50,"Yes","A high-performance gaming laptop with latest specs."
"Luxury Watch","Jewelry",299.99,40,50,2023-08-22,"Express Shipping",2-3 days,20.00,"No returns on opened items, warranty for 2 years","Credit Card, PayPal, Apple Pay",30,"Yes","An elegant luxury watch with a stainless steel band."
"Portable Speaker","Electronics",59.99,120,180,2023-05-15,"Free Shipping",7-10 days,0.00,"Returns within 30 days, must be in original condition","Credit Card, PayPal, Apple Pay",10,"No","Portable Bluetooth speaker with powerful sound."
